品號,品名
430706,茶葉蛋業務蛋
360802,源牧鮮蛋
420360,茶葉用蛋盒裝（10人裝）
315397,瑞穗鮮乳930ml（盒）
352407,果汁類變-瑞穗鮮乳930ml（盒）
439064,瑞穗鮮乳1858ml（瓶）
670736,果汁類變-瑞穗鮮乳1858ml（盒）
932033,AB無加糖優酪乳206ml
352404,果汁類變-AB無加糖優酪乳206ml
130556,統一布丁（小）
502367,果汁類變-統一布丁（小）
670738,類變專用-瑞穗鮮乳930ml（盒）
410054,北海道十勝四葉特選鮮乳
624612,類變專用-北海道十勝四葉特選鮮乳
575432,北海道函館直送3.7鮮乳
624511,類變專用-北海道函館直送3.7鮮乳
568704,NuZilk紐西蘭進口草飼鮮乳1000ml
624491,類變專用-紐西蘭進口鮮乳1000ml
679506,PureSource澳洲進口鮮乳
624583,類變專用-PureSource澳洲進口鮮乳
430670,茶葉蛋
148887,養樂多
561888,三起司熱狗
633875,美式原味熱狗
454413,橋村辣醬熱狗
588995,曼哈頓風味熱狗
372703,關東煮科學麵
443100,關東煮春雨
398740,滷味蘿蔔
402723,滷味豬血
402649,（滷）米血糕（滷味用）
398732,滷味蘭花干
398797,滷味天婦羅
402688,滷味炸豆包
421901,滷味日式炙燒軟骨串
421778,滷味台灣黑輪
421810,滷味豬肉貢丸
473062,香蔥肉丸
349669,爆汁豆干
491987,滷味手工高麗菜捲
467186,滷味百頁豆腐
488554,滷味日式魚豆腐
625852,滷味香濃芋頭燒
123543,白蘿蔔
300106,虱目魚丸
932419,香蔥肉捲
155308,中華油豆腐
318333,雪白魚豆腐
352478,鮮香菇
352676,香甜玉米
375901,杏鮑菇
581628,翠玉娃娃菜
599982,滷豬血
170956,米血糕
488408,黃金魚蛋
205579,台灣黑輪
779072,飛魚卵海鮮卷
383449,黃金魚板
411402,韓式辣味魚糕
352440,茭白筍
534552,章魚燒丸子
525566,旗魚黑輪
380642,新手工苦瓜封
632306,黃金魚捲
490737,手工高麗菜燒
490315,花枝丸
447839,原味豬肉貢丸
541335,桂冠爆汁三杯蒟蒻丸
545217,日本-正野燒竹輪
545324,日本-正炸魚餅
593106,野菜豆腐棒